Tipo Muert.,Zona,Subzona,Distrito,Circuito,Cod. Subcircu,Subcircuito,Provincia,código de provincia,Cantón,código de cantón,Coord. Y,Coord. X,Coord. Y Rev,Coord. X Rev,Area del Hecho,Lugar,Tipo Lugar,Fecha Infracción,Hora Infracción,Arma,Tipo Arma,Presun. Motiva.,Presun. Motiva. Obser,Probable Causa M.,Edad,Med. Edad,Sexo,Género,Etnia,Estado Civil,Nacionalidad,Discapacidad,Prof Reg Civ,Antecedentes,Anio_i,Mes_i,Hora,Rango Edad
ASESINATO,ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,NUEVA PROSPERINA,09D08C01S03,NUEVA PROSPERINA 3,GUAYAS,9,GUAYAQUIL,901,-2.12069,-79.97467,-2.12069,-79.97467,URBANO,VIA PUBLICA,PUBLICO,2023-01-01,00:15:00,ARMA DE FUEGO,PISTOLA             ,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,43,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,JORNALERO,SI,2023,enero,0,42-46
ASESINATO,ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,NUEVA PROSPERINA,09D08C01S03,NUEVA PROSPERINA 3,GUAYAS,9,GUAYAQUIL,901,-2.12069,-79.97467,-2.12069,-79.97467,URBANO,VIA PUBLICA,PUBLICO,2023-01-01,00:15:00,ARMA DE FUEGO,PISTOLA             ,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,3,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,NINGUNA,NO,2023,enero,0,1-5
ASESINATO,ZONA 8,D.M. GUAYAQUIL,PORTETE,CISNE,09D04C01S02,CISNE 2,GUAYAS,9,GUAYAQUIL,901,-2.22615,-79.92311,-2.22615,-79.92311,URBANO,VIA PUBLICA,PUBLICO,2023-01-01,06:20:00,ARMA DE FUEGO,PISTOLA             ,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,18,A,MUJER,FEMENINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,NO,2023,enero,6,14-18
ASESINATO,ZONA 8,D.M. GUAYAQUIL,ESTEROS,TRINITARIA SUR,09D02C05S03,TRINITARIA SUR 3,GUAYAS,9,GUAYAQUIL,901,-2.24438,-79.92579,-2.24438,-79.92579,URBANO,VIA PUBLICA,PUBLICO,2023-01-01,23:20:00,ARMA DE FUEGO,PISTOLA             ,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,24,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SI,2023,enero,23,22-26
ASESINATO,ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,MONTE SINAI,09D08C05S06,MONTE SINAI 6,GUAYAS,9,GUAYAQUIL,901,-2.11749,-79.99108,-2.11749,-79.99108,URBANO,CASA/VILLA,PRIVADO,2023-01-02,01:00:00,ARMA DE FUEGO,PISTOLA             ,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,33,A,HOMBRE,MASCULINO,AFRO,CASADO,ECUADOR,NINGUNA,EMPLEADO,NO,2023,enero,1,30-34
ASESINATO,ZONA 8,D.M. GUAYAQUIL,SUR,UNION DE BANANEROS,09D01C02S01,UNION DE BANANEROS 1,GUAYAS,9,GUAYAQUIL,901,-2.26762,-79.87542,-2.26762,-79.87542,URBANO,VIA PUBLICA,PUBLICO,2023-01-02,04:20:00,ARMA DE FUEGO,PISTOLA             ,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,29,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,TEC.SUP.EN IFORMATIC,NO,2023,enero,4,26-30
ASESINATO,ZONA 8,D.M. GUAYAQUIL,SUR,GUASMO,09D01C01S02,GUASMO 2,GUAYAS,9,GUAYAQUIL,901,-2.27872,-79.88524,-2.27872,-79.88524,URBANO,VIA PUBLICA,PUBLICO,2023-01-02,19:00:00,ARMA DE FUEGO,REVOLVER            ,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,22,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,NO,2023,enero,19,18-22
ASESINATO,ZONA 8,D.M. GUAYAQUIL,SUR,FLORESTA,09D01C03S01,FLORESTA 1,GUAYAS,9,GUAYAQUIL,901,-2.25736,-79.87458,-2.25736,-79.87458,URBANO,VIA PUBLICA,PUBLICO,2023-01-02,19:50:00,ARMA DE FUEGO,FUSIL               ,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,19,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,NO,2023,enero,19,18-22
ASESINATO,ZONA 8,D.M. GUAYAQUIL,SUR,GUASMO,09D01C01S02,GUASMO 2,GUAYAS,9,GUAYAQUIL,901,-2.27212,-79.87824,-2.27212,-79.87824,URBANO,VIA PUBLICA,PUBLICO,2023-01-03,01:40:00,ARMA DE FUEGO,PISTOLA             ,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,32,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,NO,2023,enero,1,30-34
ASESINATO,ZONA 8,D.M. GUAYAQUIL,FLORIDA,JUAN MONTALVO,09D06C04S01,JUAN MONTALVO 1,GUAYAS,9,GUAYAQUIL,901,-2.12817,-79.9202,-2.12817,-79.9202,URBANO,VIA PUBLICA,PUBLICO,2023-01-03,17:00:00,ARMA DE FUEGO,PISTOLA             ,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,26,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,NO,2023,enero,17,22-26
